Video ID,Comment ID,comments,Likes
W2TE0DjdNqI,UgzJ7CAbaGwFotyMtKt4AaABAg,i'm  so  happy  goodbye  to  a  world  became  one  of  the  more  beloved  songs  on  Worlds      it  was  always  one  of  my  favorites  and  it  always  meant  a  ton  to  me    thank  you        i'm  releasing  a  new  album  called  Nurture    and  there  s  three  songs  out  so  far    of  those    i  think  people  who  find  themselves  here  might  like  the  song  Something  Comforting    https      youtu  be  IGrhyOtikQ0,79612
W2TE0DjdNqI,UgwKE5TB4EG06eFxmWZ4AaABAg,This  song  literally  sounds  like  someone  or  something  s  last  breath    It  s  absolutely  gorgeous,13011
W2TE0DjdNqI,Ugz_9tXmgD4QNK8YdcJ4AaABAg,The  fact  that  a  vocaloid  can  touch  people's  feelings  is  amazing,882
W2TE0DjdNqI,UgzaMOMRg1V01eiSzZN4AaABAg,  It  s  the  end  of  the  world    don  t  blame  yourself        This  is  a  line  that  hits  hard  when  you  re  feeling  depressed    like  me    depression  is  just    it  feels  like  I  m  at  fault  for  everything    even  though  I  didn  t  do  anything    I  did  nothing    but  I  put  myself  as  the  person  responsible    for  no  reason    It  s  truly  the  end  for  some    Goodbye  to  some    I  m  not  killing  myself    I  m  just  leaving  a  few  things  untouched  for  a  while  ,560
W2TE0DjdNqI,Ugy22qkhZFvW5gq7npx4AaABAg,everybody  understands  this  song  in  their  own  way  and  that's  something  incredible,552
W2TE0DjdNqI,Ugw22e4xDGWdTn_V53l4AaABAg,No  matter  how  I  come  to  this  song    whether  I  m  crying  my  eyes  out    thinking  about  my  future    what  I  can  possibly  do  to  improve  myself  to  not  feel  so  inadequate    I  always  get  goosebumps  and  chills    because  this  song  somehow  connects  deeply  to  me  and  lets  me  get  out  all  my  feelings    calming  myself    so  I  can  want  to  remain  on  this  planet    It  s  truly  amazing  what  music  can  do  for  you  ,250
W2TE0DjdNqI,UgxPec28PyG4GlhSUuV4AaABAg,This  guy  saved  lives    He  saved  months    even  years  of  people  s  lives  just  for  the  audio  he  s  made    He  truly  is  the  best  ,7748
W2TE0DjdNqI,Ugwi0CLiB__02k4-NoZ4AaABAg,I  don't  know  why  but  it  gave  me  a  huge  nostalgic  feeling,187
W2TE0DjdNqI,UgxBomKobGG5kkx1bYx4AaABAg,My  little  brother  passed  away  from  drowning  in  a  pool  He  Was  3  years  my  mom  as  Well  from  heart  conditions  i  Will  always  remember  them  hearing  this  song  it  warms  up  my  heart,113
W2TE0DjdNqI,UgxuclTOtkMFV8FZvuN4AaABAg,Salute  to  all  of  the  people  who  are  having  a  hard  time  in  life  right  now    adulthood    loss  of  a  family  member    casualty  that  keeps  you  up  at  night    or  just  suicidal  thoughts    People  come  to  this  song  in  hard  times    Us  people  in  the  comments  are  here  for  you  if  you're  sad  ,198
W2TE0DjdNqI,UgzQtBWcqiCMSZ3bXY94AaABAg,You  know  a  song  is  a  masterpiece  when  you  see  people  tell  sad  events  in  their  life  in  the  comments  to  relate  to  the  song    Truly  a  masterpiece  indeed  ,11
W2TE0DjdNqI,UgxEjU2CZ8avpmvgmR14AaABAg,This  song  makes  me  want  to  have  a  conversation  with  my  younger  self  ,22485
W2TE0DjdNqI,UgwKxIR0vOwwcFt4Q2R4AaABAg,Lyrics  Thank  you    I'll  say  goodbye  soon  Though  its  the  end  of  the  world    Don't  blame  yourself  now  And  if  its  true    I  will  surround  you  and  give  life  to  a  world  That's  our  own    Thank  you    I'll  say  goodbye  now  Though  its  the  end  of  the  world    Don't  blame  yourself  And  if  its  true    I  will  surround  you  and  give  life  to  a  world  That's  our  own    Thank  you    I'll  say  goodbye  soon  Though  its  the  end  of  the  world    don't  blame  yourself  now  And  if  its  true    I  will  surround  you  and  give  life  to  a  world  That's  our  own    Thank  you    I'll  say  goodbye  now  Though  its  the  end  of  the  world    don't  blame  yourself  And  if  its  true    I  will  surround  you  and  give  life  to  a  world  That's  our  own,12
W2TE0DjdNqI,UgzO23RdY38RL0Z43xd4AaABAg,A  lot  of  people  are  saying  this  song  is  about  dying  or  a  person  dying  and  being  happy    and  maybe  in  some  ways  it  is    For  me    the  song  more  feels  like  it's  about  transitional  periods  in  life    Moving  from  one  life  role  or  period  to  another    and  being  ready  and  optimistic  for  the  next  part  of  your  life    Enjoying  the  experiences  you  had    the  people  who  helped  you  through  it    but  still  able  to  move  on  and  grow  ,125
