Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
4ZHwu0uut3k,Ugyr7yDYzW-0a2mzFn54AaABAg,this  track  and  the  girl  in  the  picture  are  both  equally  timeless,1,0.0,0,track girl picture equally timeless
4ZHwu0uut3k,UgwwheMPit23ESgVg7l4AaABAg,i  have  a  toxic  relationship  with  this  song,3,0.0,0,toxic relationship song
4ZHwu0uut3k,UgxijW9fHG9K_dWaiBR4AaABAg,probably  the  most  beautiful  i've  heard  in  my  life,109,0.675,1,probably beautiful 've heard life
4ZHwu0uut3k,UgxL5c9EwPqvnNla5iF4AaABAg,the  best  song  in  the  world,0,1.0,1,best song world
4ZHwu0uut3k,UgzTUpYK_tzzVOEAuZ94AaABAg,whenever  i'm  in  my  feelings  and  stumble  on  this  makes  me  wanna  cry      years  now  but  same  feelings    dancing    sad    relief,30,-0.18333333333333335,0,whenever 'm feelings stumble makes wan na cry years feelings dancing sad relief
4ZHwu0uut3k,Ugw-ZMH9SDJxzuHa-ql4AaABAg,i  can  t  start  my  day  without  playing  this  song,11,0.0,0,start day without playing song
4ZHwu0uut3k,Ugyk_LrIVRky7BqECY94AaABAg,damn  finns    first  boom  funk  mc    and  now  this      beautiful  song    and  can't  take  my  eyes  of  the  photo  while  listening    thinking        very  well  done,1,0.43333333333333335,1,damn finns first boom funk mc beautiful song ca n't take eyes photo listening thinking well done
4ZHwu0uut3k,UgxYps8qjOrugA98e-d4AaABAg,ill  type  hush  all  day  long  in  backpacking,0,-0.275,0,ill type hush day long backpacking
4ZHwu0uut3k,UgyMMNgXEhvJlXTCL1l4AaABAg,song    play  in  lanna  gym  praque          this  is  my      2018  2019          thnx  for  all,4,0.0,0,song play lanna gym praque 2018 2019 thnx
4ZHwu0uut3k,UgyTiuivxBLGKU8KNSB4AaABAg,what  i  ve  experienced  in  this  year  makes  me  feel  all  the  pain  in  this  one  song  never  been  so  depressed  in  my  life,0,0.8,1,experienced year makes feel pain one song never depressed life
4ZHwu0uut3k,UgxbEWPKW0wZxxYbx9h4AaABAg,till  the  sun  die        my  child    y,0,0.0,0,till sun die child
4ZHwu0uut3k,UgxDZd_cWCeQCCQI6Z14AaABAg,i  used  to  enjoy  this  song  because  of  its  beat  and  rythm    i  didnt  know  what  this  song  was  talking  about    now  that  i  understand    it  really  hits  different    thinking  of  good  old  days  when  life  was  perfect,0,0.4000000000000001,1,used enjoy song beat rythm didnt know song talking understand really hits different thinking good old days life perfect
4ZHwu0uut3k,Ugx9CBVtjtmXK0hIWOZ4AaABAg,i  wanna  cry  and  i  wanna  love  but  all  my  tears  have  been  used  up,1,0.5,1,wan na cry wan na love tears used
4ZHwu0uut3k,UgxlrxOwyReMh4GfN9Z4AaABAg,i  played  this  song  2  years  ago  during  some  of  the  most  depressive  moments  in  my  life      i  was  alone  no  family  around    in  a  foreign  land      desperate  and  hopeful  that  things  would  come  back  to  normal  as  i  ran  and  ran  in  the  rain,5,-0.014999999999999996,0,played song 2 years ago depressive moments life alone family around foreign land desperate hopeful things would come back normal ran ran rain
4ZHwu0uut3k,Ugzq7XqYlOtlI2bo-LF4AaABAg,love  you    is,0,0.5,1,love
4ZHwu0uut3k,UgwRT5BwLmVcjCqPtil4AaABAg,7  years  later  and  here  we  are,2,0.0,0,7 years later
