Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
RBumgq5yVrA,UgxvGBWv9-dPCh90doh4AaABAg,this  is  a  badass  song,1,0.0,0,badass song
RBumgq5yVrA,UgxqROuqRVrRVsdoNgB4AaABAg,or  when  your  dreams  fail  or  business  closes  down  and  you  have  a  family  to  support    or  when  shes  had  enough  in  general  and  your  glad  you  got  a  prenup,0,-0.0211111111111111,0,dreams fail business closes family support shes enough general glad got prenup
RBumgq5yVrA,UgydV7wMjnkbE_jR7UB4AaABAg,i  love  how  his  voice  is  so  fricking  deep    but  his  personality  is  a  whole  different  level    from  sounding  mean  and  rude    to  actually  being  sweet  and  nice,3,0.11527777777777776,1,love voice fricking deep personality whole different level sounding mean rude actually sweet nice
RBumgq5yVrA,UgwiAa-outZvm1LS9Ht4AaABAg,and  you  let  her  go        still  hits  hard,243,-0.2916666666666667,0,let go still hits hard
RBumgq5yVrA,Ugxf9eEBZxsGrrAqA8N4AaABAg,it's  actually  hard  to  believe  that  300k  people  dislike  this  masterpiece,413,-0.2916666666666667,0,'s actually hard believe 300k people dislike masterpiece
RBumgq5yVrA,UgxEpdFDa7UW1mtnPWR4AaABAg,blessed,0,0.0,0,blessed
RBumgq5yVrA,UgyB1rP92zPdPbsgLXJ4AaABAg,i  want  you  out  of  my  house,0,0.0,0,want house
RBumgq5yVrA,UgxFY9kWDOubBMt9RC54AaABAg,only  know  you  love  her  when  you  let  her  go,0,0.25,1,know love let go
RBumgq5yVrA,Ugxic3K0mtjngQWgDoF4AaABAg,this  song  connects  to  my  heart,0,0.0,0,song connects heart
RBumgq5yVrA,UgwEh9_aNSnTDOPAlr54AaABAg,well  you  only  need  the  light  when  it's  burning  low  only  miss  the  sun  when  it  starts  to  snow  only  know  you  love  her  when  you  let  her  go  only  know  you've  been  high  when  you're  feeling  low  only  hate  the  road  when  you're  missing  home  only  know  you  love  her  when  you  let  her  go  and  you  let  her  go  staring  at  the  bottom  of  your  glass  hoping  one  day  you'll  make  a  dream  last  but  dreams  come  slow  and  they  go  so  fast  you  see  her  when  you  close  your  eyes  maybe  one  day  you'll  understand  why  everything  you  touch  surely  dies  'cause  you  only  need  the  light  when  it's  burning  low  only  miss  the  sun  when  it  starts  to  snow  only  know  you  love  her  when  you  let  her  go  only  know  you've  been  high  when  you're  feeling  low  only  hate  the  road  when  you're  missing  home  only  know  you  love  her  when  you  let  her  go  staring  at  the  ceiling  in  the  dark  same  old  empty  feeling  in  your  heart  love  comes  slow  and  it  goes  so  fast  well  you  see  her  when  you  fall  asleep  but  never  to  touch  and  never  to  keep  'cause  you  loved  her  too  much  and  you  dive  too  deep  'cause  you  only  need  the  light  when  it's  burning  low  only  miss  the  sun  when  it  starts  to  snow  only  know  you  love  her  when  you  let  her  go  only  know  you've  been  high  when  you're  feeling  low  only  hate  the  road  when  you're  missing  home  only  know  you  love  her  when  you  let  her  go  and  you  let  her  go  oh  oh  oh  no  and  you  let  her  go  oh  oh  oh  no  and  you  let  her  go  well    you  only  need  the  light  when  it's  burning  low  only  miss  the  sun  when  it  starts  to  snow  only  know  you  love  her  when  you  let  her  go  only  know  you've  been  high  when  you're  feeling  low  only  hate  the  road  when  you're  missing  home  only  know  you  love  her  when  you  let  her  go  'cause  you  only  need  the  light  when  it's  burning  low  only  miss  the  sun  when  it  starts  to  snow  only  know  you  love  her  when  you  let  her  go  only  know  you've  been  high  when  you're  feeling  low  only  hate  the  road  when  you're  missing  home  only  know  you  love  her  when  you  let  her  go  and  you  let  her  go,94,0.05178571428571428,1,well need light 's burning low miss sun starts snow know love let go know 've high 're feeling low hate road 're missing home know love let go let go staring bottom glass hoping one day 'll make dream last dreams come slow go fast see close eyes maybe one day 'll understand everything touch surely dies 'cause need light 's burning low miss sun starts snow know love let go know 've high 're feeling low hate road 're missing home know love let go staring ceiling dark old empty feeling heart love comes slow goes fast well see fall asleep never touch never keep 'cause loved much dive deep 'cause need light 's burning low miss sun starts snow know love let go know 've high 're feeling low hate road 're missing home know love let go let go oh oh oh let go oh oh oh let go well need light 's burning low miss sun starts snow know love let go know 've high 're feeling low hate road 're missing home know love let go 'cause need light 's burning low miss sun starts snow know love let go know 've high 're feeling low hate road 're missing home know love let go let go
