Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
W2TE0DjdNqI,UgxBI3r5-Tk1NCRaFJB4AaABAg,this  reminds  me  of  the  end  of  the  decade    how  we  re  never  going  to  experience  the  same  feelings  we  did  in  2010      2019    the  jokes    the  laughter    the  summers    the  memes    we  re  never  going  to  experience  that    but  that  means  we  make  new  ones      happy  new  years    everyone        someone  in  2019    3,118,0.2681818181818182,1,reminds end decade never going experience feelings 2010 2019 jokes laughter summers memes never going experience means make new ones happy new years everyone someone 2019 3
W2TE0DjdNqI,UgzfPRKhLF0E88vNhQR4AaABAg,i  don't  cry  from  this  song    i  don't  feel  anything  at  all          i'm  kind  of          emotionless,0,0.6,1,n't cry song n't feel anything 'm kind emotionless
W2TE0DjdNqI,UgxH104hPs8KJeU3cN94AaABAg,for  some  reason  i  was  listing  and  i  thought  of  how  hard  my  mom  had  to  work  to  do  everything  for  me  doesn't  have  much  to  do  with  the  vid  but  just  thought  i'd  share  and  go  tell  your  mom  thanks,0,0.036111111111111115,1,reason listing thought hard mom work everything n't much vid thought 'd share go tell mom thanks
W2TE0DjdNqI,UgyoRqegmNk6fOwsmDJ4AaABAg,how  is  this  the  most  viewed  world's  song  though    i  feel  there  are  3  to  4  better  ones  on  the  album,0,0.5,1,viewed world 's song though feel 3 4 better ones album
W2TE0DjdNqI,UgwTYA0Jjsv_Fyr3Rxt4AaABAg,i  dedicate  this  to  my  aunt    i  miss  you  so  much,0,0.2,1,dedicate aunt miss much
W2TE0DjdNqI,UgxLuiqiz5xEQ6MDFSN4AaABAg,this  gives  me  heavy  wmmt  vibes  and  i'm  all  in  for  it,0,-0.2,0,gives heavy wmmt vibes 'm
W2TE0DjdNqI,UgzFFksyVq2IqBaO71N4AaABAg,was  this  on  a  indy  game  or  something    it  sounds  so  familiar,0,-0.012500000000000011,0,indy game something sounds familiar
W2TE0DjdNqI,UgzeBWcN4ZnrYZMTNE14AaABAg,reasons  why  you  should  stay  alive    1    we  would  miss  you      2    it's  not  worth  the  regret    either  by  yourself  if  you  failed  or  just  simply  left  scars    or  the  regret  everyone  else  feels  by  not  doing  enough  to  help  you      3    it  does  get  better    believe  it  or  not  it  will  eventually  get  better    sometimes  you  have  to  go  through  the  storm  to  get  to  the  rainbow      4    there's  so  much  you  would  miss  out  on  doing      5    there  is  always  a  reason  to  live    it  might  not  be  clear  right  now    but  it  is  always  there      6    so  many  people  care    and  it  would  hurt  them  if  you  hurt  yourself      7    you  are  worth  it    don't  let  anyone    especially  yourself    tell  you  otherwise      8    you  are  amazing      9    a  time  will  come    once  you've  battled  the  toughest  times  of  your  life  and  are  in  ease  once  again    where  you  will  be  so  glad  that  you  decided  to  keep  on  living    you  will  emerge  stronger  from  this  all    and  won't  regret  your  choice  to  carry  on  with  life    because  things  always  get  better      10    what  about  all  the  things  you've  always  wanted  to  do    what  about  the  things  you've  planned    but  never  got  around  to  doing    you  can't  do  them  when  you're  dead      11    i  love  you    even  if  only  one  person  loves  you    that's  still  a  reason  to  stay  alive      12    you  won't  be  able  to  listen  to  music  if  you  die      13    killing  yourself  is  never  worth  it    you'll  hurt  both  yourself  and  all  the  people  you  care  about      14    there  are  so  many  people  that  would  miss  you    including  me      15    you're  preventing  a  future  generation    your  kids    from  even  being  born      16    how  do  you  think  your  family  would  feel    would  it  improve  their  lives  if  you  died      17    you're  gorgeous    amazing    and  to  someone  you  are  perfect      18    think  about  your  favourite  music  artist    you'll  never  hear  their  voice  again          19    you'll  never  have  the  feeling  of  walking  into  a  warm  building  on  a  cold  day    20    listening  to  incredibly  loud  music    21    being  alive  is  just  really  good      22    not  being  alive  is  really  bad      23    finding  your  soulmate      24    red  pandas    25    going  to  diners  at  three  in  the  morning      26    really  soft  pillows      27    eating  pizza  in  new  york  city      28    proving  people  wrong  with  your  success      29    watching  the  jerks  that  doubted  you  fail  at  life      30    seeing  someone  trip  over  a  garbage  can      31    being  able  to  help  other  people      32    bonfires      33    sitting  on  rooftops      34    seeing  every  single  country  in  the  world      35    going  on  roadtrips      36    you  might  win  the  lottery  someday      37    listening  to  music  on  a  record  player      38    going  to  the  top  of  the  eiffel  tower      39    taking  really  cool  pictures      40    literally  meeting  thousands  of  new  people      41    hearing  crazy  stories      42    telling  crazy  stories      43    eating  ice  cream  on  a  hot  day      44    more  harry  potter  books  could  come  out    you  never  know      45    travelling  to  another  planet  someday      46    having  an  underwater  house      47    randomly  running  into  your  hero  on  the  street      48    having  your  own  room  at  a  fancy  hotel      49    trampolines      50    think  about  your  favourite  movie    you'll  never  watch  it  again      51    think  about  the  feeling  of  laughing  out  loud  in  a  public  place  because  your  best  friend  has  just  sent  you  an  inside  joke      52    your  survival  will  make  the  world  better    even  if  it's  for  just  one  person  or  20  or  100  or  more      53    people  do  care      54    treehouses    55    hanging  out  with  your  soul  mate  in  a  treehouse    55    snorting  when  you  laugh  and  not  caring  who  sees    56    i  don't  even  know  you  and  i  love  you      57    i  don't  even  know  you  and  i  care  about  you      58    because  nobody  is  going  to  be  like  you  ever    so  embrace  your  uniqueness      59    you  won't  be  here  to  experience  the  first  cat  world  emperor      60    what  about  food      you'll  miss  chocolate  and  all  the  other  nom  things      61    starbucks      62    hugs      63    stargazing      64    you  have  a  purpose    and  it's  up  to  you  to  find  out  what  it  is      65    you've  changed  somebody's  life      66    now  you  could  change  the  world      67    you  will  meet  the  person  that's  perfect  for  you      68    no  matter  how  much  or  how  little    you  have  your  life  ahead  of  you      69    you  have  the  chance  to  save  somebody's  life      70    if  you  end  your  life    you're  stopping  yourself  from  achieving  great  things      71    making  snow  angels      72    making  snowmen      73    snowball  fights      74    life  is  what  you  make  of  it      75    everybody  has  a  talent      76    laughing  until  you  cry      77    having  the  ability  to  be  sad  means  you  have  the  ability  to  be  happy      78    the  world  would  not  be  the  same  if  you  didn't  exist      79    its  possible  to  turn  frowns    upside  down    80    be  yourself    don't  take  anyone's  shit    and  never  let  them  take  you  alive      81    heroes  are  ordinary  people  who  make  themselves  extraordinary    be  your  own  hero      82    being  happy  doesn't  mean  that  everything  is  perfect    it  means  that  you've  decided  to  look  beyond  the  imperfections      83    one  day  your  smile  will  be  real      84    having  a  really  hot    relaxing  bath  after  a  stressful  day      85    lying  on  grass  and  laughing  at  the  clouds      86    getting  completely  smashed  with  your  best  friends      87    eating  crazy  food      88    staying  up  all  night  watching  your  favourite  films  with  a  loved  one      89    sleeping  in  all  day      90    creating  something  you're  proud  of      91    you  can  look  back  on  yourself  70  years  later  and  being  proud  you  didn't  commit    92    being  able  to  meet  your  internet  friends      93    tea      coffee      hot  chocolate    94    the  new  season  of  sherlock  95    cuddling  under  the  stars      96    being  stupid  in  public  because  you  just  can      97    if  you  are  reading  this  then  you  are  alive    is  there  any  more  reason  to  smile      98    being  able  to  hug  that  one  person  you  havent  seen  in  years    99    people  care  enough  about  you  and  your  future  to  come  up  with  100  reasons  for  you  not  to  do  this      100    but    the  final  and  most  important  one  is    just    being  able  to  experience  life    because  even  if  your  life  doesn't  seem  so  great  right  now    literally  anything  could  happen,2767,0.21549289188178078,1,reasons stay alive 1 would miss 2 's worth regret either failed simply left scars regret everyone else feels enough help 3 get better believe eventually get better sometimes go storm get rainbow 4 's much would miss 5 always reason live might clear right always 6 many people care would hurt hurt 7 worth n't let anyone especially tell otherwise 8 amazing 9 time come 've battled toughest times life ease glad decided keep living emerge stronger wo n't regret choice carry life things always get better 10 things 've always wanted things 've planned never got around ca n't 're dead 11 love even one person loves 's still reason stay alive 12 wo n't able listen music die 13 killing never worth 'll hurt people care 14 many people would miss including 15 're preventing future generation kids even born 16 think family would feel would improve lives died 17 're gorgeous amazing someone perfect 18 think favourite music artist 'll never hear voice 19 'll never feeling walking warm building cold day 20 listening incredibly loud music 21 alive really good 22 alive really bad 23 finding soulmate 24 red pandas 25 going diners three morning 26 really soft pillows 27 eating pizza new york city 28 proving people wrong success 29 watching jerks doubted fail life 30 seeing someone trip garbage 31 able help people 32 bonfires 33 sitting rooftops 34 seeing every single country world 35 going roadtrips 36 might win lottery someday 37 listening music record player 38 going top eiffel tower 39 taking really cool pictures 40 literally meeting thousands new people 41 hearing crazy stories 42 telling crazy stories 43 eating ice cream hot day 44 harry potter books could come never know 45 travelling another planet someday 46 underwater house 47 randomly running hero street 48 room fancy hotel 49 trampolines 50 think favourite movie 'll never watch 51 think feeling laughing loud public place best friend sent inside joke 52 survival make world better even 's one person 20 100 53 people care 54 treehouses 55 hanging soul mate treehouse 55 snorting laugh caring sees 56 n't even know love 57 n't even know care 58 nobody going like ever embrace uniqueness 59 wo n't experience first cat world emperor 60 food 'll miss chocolate nom things 61 starbucks 62 hugs 63 stargazing 64 purpose 's find 65 've changed somebody 's life 66 could change world 67 meet person 's perfect 68 matter much little life ahead 69 chance save somebody 's life 70 end life 're stopping achieving great things 71 making snow angels 72 making snowmen 73 snowball fights 74 life make 75 everybody talent 76 laughing cry 77 ability sad means ability happy 78 world would n't exist 79 possible turn frowns upside 80 n't take anyone 's shit never let take alive 81 heroes ordinary people make extraordinary hero 82 happy n't mean everything perfect means 've decided look beyond imperfections 83 one day smile real 84 really hot relaxing bath stressful day 85 lying grass laughing clouds 86 getting completely smashed best friends 87 eating crazy food 88 staying night watching favourite films loved one 89 sleeping day 90 creating something 're proud 91 look back 70 years later proud n't commit 92 able meet internet friends 93 tea coffee hot chocolate 94 new season sherlock 95 cuddling stars 96 stupid public 97 reading alive reason smile 98 able hug one person havent seen years 99 people care enough future come 100 reasons 100 final important one able experience life even life n't seem great right literally anything could happen
W2TE0DjdNqI,UgxEg8WLFtQsj1ZUJCR4AaABAg,who  still  enjoys  this  after  7  years,0,0.0,0,still enjoys 7 years
W2TE0DjdNqI,UgySvMLkV8jK3CQTZEF4AaABAg,hey    let's  build  that  diamond  house  tomorrow        yeah  for  sure        last  seen  online    7  years  ago              i  built  it,2849,0.25,1,hey let 's build diamond house tomorrow yeah sure last seen online 7 years ago built
