,Video ID,Comment ID,comments,polarity,pol_cat,stop_comments
0,MwpMEbgC7DA,UgxRaaXSvOnxOpx2XBZ4AaABAg,why    have  i  just  realised  just  now  that  he  has  a  karen  cut  lmao,0.6,1,realised karen cut lmao
1,MwpMEbgC7DA,UgwJ8rCuePPDV8yKzs14AaABAg,this  is  my  comfort  song    it  makes  me  feel  every  emotion  i  need  to  feel        thanks  for  that  ,0.2,1,comfort song makes feel every emotion need feel thanks
2,MwpMEbgC7DA,UgydlW8DryB7MgHl_5p4AaABAg,this  song  will  never  be  forgotten    will  pass  through  generations  and  will  be  a  classic    a  masterpiece  ,0.16666666666666666,1,song never forgotten pass generations classic masterpiece
3,MwpMEbgC7DA,UgyBWzS2Kg_xBe0oGgJ4AaABAg,i  came  here  after  vampire  diaries  season  6,0.0,-1,came vampire diaries season 6
4,MwpMEbgC7DA,UgxIQvlfp3yXOEGCXn54AaABAg,i  was  here  in  2021  and  i  will  be  here  in  2022  2023  2024  until  i  die,0.0,-1,2021 2022 2023 2024 die
5,MwpMEbgC7DA,UgxdTG3rJbqJRfUs1at4AaABAg,pov    you're  9  years  later    ,0.0,-1,pov 're 9 years later
6,MwpMEbgC7DA,Ugjo13NqRq4553gCoAEC,i  wanna  take  you  somewhere  so  you  know  i  care  but  it's  so  cold  and  i  don't  know  where  i  brought  you  daffodils  in  a  pretty  string  but  they  won't  flower  like  they  did  last  spring    and  i  wanna  kiss  you    make  you  feel  alright  i'm  just  so  tired  to  share  my  nights  i  wanna  cry  and  i  wanna  love  but  all  my  tears  have  been  used  up    on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up    and  if  somebody  hurts  you    i  wanna  fight  but  my  hands  been  broken    once  too  many  times  so  i'll  use  my  voice    i'll  be  so  fucking  rude  words  they  always  win    but  i  know  i'll  lose    and  i'd  sing  a  song    that'd  be  just  ours  but  i  sang  'em  all  to  another  heart  and  i  wanna  cry  i  wanna  learn  to  love  but  all  my  tears  have  been  used  up    on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up    i  wanna  sing  a  song    that'd  be  just  ours  but  i  sang  'em  all  to  another  heart  and  i  wanna  cry    i  wanna  fall  in  love  but  all  my  tears  have  been  used  up    on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up,0.356896551724138,1,wan na take somewhere know care 's cold n't know brought daffodils pretty string wo n't flower like last spring wan na kiss make feel alright 'm tired share nights wan na cry wan na love tears used another love another love tears used another love another love tears used another love another love tears used somebody hurts wan na fight hands broken many times 'll use voice 'll fucking rude words always win know 'll lose 'd sing song 'd sang 'em another heart wan na cry wan na learn love tears used another love another love tears used another love another love tears used another love another love tears used wan na sing song 'd sang 'em another heart wan na cry wan na fall love tears used another love another love tears used another love another love tears used another love another love tears used
7,MwpMEbgC7DA,Ugw6lEn_5ReUJX506614AaABAg,let  s  see  how  muny  people  are  listening  to  this  song  in  2021  ,0.0,-1,let see muny people listening song 2021
8,MwpMEbgC7DA,UgzR2lWAvrfjYlbfEoB4AaABAg,i  wanna  take  you  somewhere  so  you  know  i  care  but  it's  so  cold  and  i  don't  know  where  i  brought  you  daffodils  in  a  pretty  string  but  they  won't  flower  like  they  did  last  spring  and  i  wanna  kiss  you    make  you  feel  alright  i'm  just  so  tired  to  share  my  nights  i  wanna  cry  and  i  wanna  love  but  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  oh  oh    oh  oh  oh  oh  oh  oh  oh  oh  oh  oh  oh  oh  and  if  somebody  hurts  you    i  wanna  fight  but  my  hand's  been  broken    one  too  many  times  so  i'll  use  my  voice    i'll  be  so  fucking  rude  words  they  always  win    but  i  know  i'll  lose  and  i'd  sing  a  song    that'd  be  just  ours  but  i  sang  'em  all  to  another  heart  and  i  wanna  cry    i  wanna  learn  to  love  but  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  oh  oh  i  wanna  sing  a  song    that'd  be  just  ours  but  i  sang  'em  all  to  another  heart  and  i  wanna  cry    i  wanna  fall  in  love  but  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  on  another  love    another  love  all  my  tears  have  been  used  up  oh  oh    oh,0.356896551724138,1,wan na take somewhere know care 's cold n't know brought daffodils pretty string wo n't flower like last spring wan na kiss make feel alright 'm tired share nights wan na cry wan na love tears used another love another love tears used another love another love tears used another love another love tears used oh oh oh oh oh oh oh oh oh oh oh oh oh oh somebody hurts wan na fight hand 's broken one many times 'll use voice 'll fucking rude words always win know 'll lose 'd sing song 'd sang 'em another heart wan na cry wan na learn love tears used another love another love tears used another love another love tears used another love another love tears used oh oh wan na sing song 'd sang 'em another heart wan na cry wan na fall love tears used another love another love tears used another love another love tears used another love another love tears used oh oh oh
9,MwpMEbgC7DA,UgyCSzzV13OdT8PCv7V4AaABAg,i  miss  my  childhood    having  no  responsibilities    not  being  expected  to  do  anything    my  parents  being  so  excited  on  small  things  like  me  walking  for  the  first  time    them  being  happy  and  giving  me  gifts  for  solving  a  simple  math  problem    not  having  to  care  abt  how  you  look  cuz  everyone  would  constantly  remind  you  abt  how    cute    you  are          but  now      i  am  expected  to  have  good  grades    my  parents  arent  happy  from  me  or  whatever  i  do      they  dont  let  me  go  outside  in  clothes  i  want  to  wear  cuz  ill  be    judged    and    harassed        me  constantly  being  self  concious  abt  my  wieght  and  being  afraid  i  wont  fit  in  the  society  s  standars,0.14218749999999997,1,miss childhood responsibilities expected anything parents excited small things like walking first time happy giving gifts solving simple math problem care abt look cuz everyone would constantly remind abt cute expected good grades parents arent happy whatever dont let go outside clothes want wear cuz ill judged harassed constantly self concious abt wieght afraid wont fit society standars
