Video ID,Comment ID,comments
MwpMEbgC7DA,UgwUJGD9twrbc2p5HsF4AaABAg,Who  else  just  randomly  remembered  this  song  
MwpMEbgC7DA,UgwatJec2ipyRetMjPJ4AaABAg,still  can't  realize  its  going  to  be  9th  year  of  this  song  its  amazing
MwpMEbgC7DA,UgwUv2-t5p8tboW69vB4AaABAg,It's  October  2021    Let's  See  how  many  legends  are  listening  to  this  masterpiece      
MwpMEbgC7DA,UgxAIow1Xkh884IL9V94AaABAg,Timeless  classic    3
MwpMEbgC7DA,UgydlW8DryB7MgHl_5p4AaABAg,This  song  will  never  be  forgotten    Will  pass  through  generations  and  will  be  a  classic    A  masterpiece  
MwpMEbgC7DA,UgwPQlfEg-OLo5pHVVF4AaABAg,Honestly    I  think  the  saddest  sound  ever  is  the  crack  in  someone's  voice  when  they're  on  the  verge  of  tears
MwpMEbgC7DA,Ugx8TRo1AcSMr_Zb48p4AaABAg,when  you  start  shedding  tears  on  this  music  for  no  reason  you  know  you  re  broken      
MwpMEbgC7DA,UgwkF8cGlxdkRbjaj-x4AaABAg,I'm  22  and  I  never  heard  this  song  until  now    But  I  can  definitively  say  that  this  song  is  merely  perfect      '  
MwpMEbgC7DA,UgxC6XdWVf0Qii7HNHx4AaABAg,Lyrics    I  wanna  take  you  somewhere  so  you  know  I  care  But  it's  so  cold  and  I  don't  know  where  I  brought  you  daffodils  in  a  pretty  string  But  they  won't  flower  like  they  did  last  spring  And  I  wanna  kiss  you    make  you  feel  alright  I'm  just  so  tired  to  share  my  nights  I  wanna  cry  and  I  wanna  love  But  all  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  Oh  oh    Oh  oh  oh  oh  oh  oh  Oh  oh  oh  oh  oh  oh  And  if  somebody  hurts  you    I  wanna  fight  But  my  hand's  been  broken    one  too  many  times  So  I'll  use  my  voice    I'll  be  so  fucking  rude  Words  they  always  win    but  I  know  I'll  lose  And  I'd  sing  a  song    that'd  be  just  ours  But  I  sang  'em  all  to  another  heart  And  I  wanna  cry    I  wanna  learn  to  love  But  all  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  Oh  oh  I  wanna  sing  a  song    that'd  be  just  ours  But  I  sang  'em  all  to  another  heart  And  I  wanna  cry    I  wanna  fall  in  love  But  all  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  On  another  love    another  love  All  my  tears  have  been  used  up  oh  oh    oh
MwpMEbgC7DA,Ugxs-4VjoONE34lpIiN4AaABAg,Unpopular  opinion    this  song  is  the  masterpiece  of  our  generation
MwpMEbgC7DA,Ugybk3mtUbcHtlMd_Mx4AaABAg,I  learnt  to  love  this  song  after  over  4  years    I  never  paid  attention  to  the  beauty  of  it    
MwpMEbgC7DA,Ugx2emwkJrzvr_47wJ14AaABAg,      Promise  me  this  is  forever        I  promise    
MwpMEbgC7DA,Ugxx6ZHwUCl1UkXVCwd4AaABAg,This  song  is  literally  one  of  the  saddest  songs  in  this  world  
MwpMEbgC7DA,UgxsXTcu-1M5tn4wtn54AaABAg,  Another  Love  by  Tom  Odell        I  wanna  take  you  somewhere  so  you  know  I  care  but  it's  so  cold  and  I  don't  know  where  I  brought  you  daffodils  on  a  pretty  string  but  they  won't  flowers  like  they  did  Last  spring  and  I  wanna  Kiss  you  make  you  feel  alright  I'm  Just  so  tired  to  share  my    nights  I  wanna  cry  and  I  wanna  Love  but  all  my  tears  have  been  used  up    on  another  Love    another  Love  all  my  tears  have  Been  Used  Up  on  another  Love    another  Love    all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up  and  If  somebody  hurts  you    i  wanna  fight  but  My  hand's  Been  Broken    one  too  many  Times  so  use  my  voice  i'll  be  so  f      ing  rude  words    they  always  win    but  i  know  i'll  lose  and  i'd  sing  a  Song    that'd  be  just  ours  but  i  sing  'em  all  to  another  Heart  and    I  wanna  cry  i  wanna  learn  to  Love  but  all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up  i  wanna  sing  a  Song  that'll  be  just  ours  but  i  sang  'em  all  to  another  Heart  and  I  wanna  cry    i  wanna  Fall  in  Love  but  all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up  on  another  Love    another  Love  all  my  tears  have  been  used  up      Thank  you  for  reading  this      
MwpMEbgC7DA,UgwQYm3wfKvgng7QmGl4AaABAg,i  remember  when  this  song  came  outand  now  it  is  8  years  ago
MwpMEbgC7DA,UgxYNCwNkZyoh5RxVbF4AaABAg,This  song  will  forever  be  the  most  powerful  song  ever  created  I  connect  with  this  song  and  the  lyrics  on  another  level
MwpMEbgC7DA,UggjR394cHAOHngCoAEC,this  is  the  simplest  and  yet  best  music  video  ever  
MwpMEbgC7DA,Ugx4-J8KUhHXhYtmy0d4AaABAg,ITS  NOVEMBER  2021    LET'S  SEE  HOW  MANY  LEGENDS  ARE  STILL  LISTENING  TO  THIS  MASTERPIERCE
MwpMEbgC7DA,UgzWyehPRoa3-Vq0IZp4AaABAg,If  you're  here    your  music  taste  is  gold
MwpMEbgC7DA,Ugy8q8dnwzYF5-JtdHx4AaABAg,my  heart  aches  when  i  listen  to  this  but  it's  so  addictive
MwpMEbgC7DA,Ugy5nYHVwu4XCmlHXFV4AaABAg,There's  just  something  about  this  song      It's  just  makes  me  wanna  cry  so  hard
MwpMEbgC7DA,UgxItwR0MIiOYHXg1Dd4AaABAg,This  song  explained  everything  I  wanna  say  
MwpMEbgC7DA,Ugyjf4pXq-8IO74y5qV4AaABAg,Come  back  to  this  song  in  ten  years  and  see  the  memories  that  flood  your  head  
MwpMEbgC7DA,UgwfrS_JsgGk8Q3efu54AaABAg,This  song  never  gets  old    No  matter  how  much  I  listen    I  never  get  bored  
MwpMEbgC7DA,UgyFCF2i-9bwb1DS2FB4AaABAg,This  is  a  great  song  it  has  kept  me  from  emotional  dying  since  my  grandma  passed  I  needed  to  listen  to  this  for  more  comfort  thanks  
MwpMEbgC7DA,UgyAPBv0KYbvGVDwhFJ4AaABAg,  if  love  is  a  word    then  why  does  it  hurt  so  much  if  it  isn't  there    
MwpMEbgC7DA,UgwENOLbCHShrgOn0V54AaABAg,Some  songs  just  happen  to  be  right  for  my  soul    Could  be  the  chords  or  the  lyrics    or  like  in  this  case    both    It's  just  amazing  how  you  can  literally  feel  something  moving  inside  of  you  listening  to  it    goosebumps  on  my  arms    it's  simply  the  definition  of  magic  to  me  
MwpMEbgC7DA,UgyuW0uxL9LhWzjsvFp4AaABAg,I  just  realized  this  song  is  8  years  old  and  still  a  masterpiece  to  this  day      Wow  
MwpMEbgC7DA,UgzpfJs07zoH2alqR-l4AaABAg,this  song  will  always  have  that  Something        the  way  it  escalates    god  
MwpMEbgC7DA,UgzKNF5AhjY_2P-UX-l4AaABAg,Gives  me  chills    every  time    after  all  this  time    will  still  give  me  chills  even  after  another  10  years    
MwpMEbgC7DA,UgxRReckwsN2JghqYtF4AaABAg,It  s  been  9  years  and  still  my  favorite    I  m  still  searching  for  love  and  trust  that  I  never  found  I  m  still  fighting  with  my  self      
MwpMEbgC7DA,UgxuPEkwnZ-KCYWu--p4AaABAg,Don't  worry  you're  not  the  only  one  who  listening  to  this  masterpiece  in  2021  
MwpMEbgC7DA,Ugw4b0L4ZO6JfVr46HJ4AaABAg,That  the  first  time  I  heard  this  music  i  think  it  gonna  be  an  new  addiction
MwpMEbgC7DA,Ugw-ikDcyjC1fgWf6DF4AaABAg,I  love  how  they  kept  the  video  simple  because  it  s  just  such  an  intense  song    
MwpMEbgC7DA,UgxvchFMRXWlTjb6Pl94AaABAg,Sometimes  this  song  makes  me  cry  of  it  
MwpMEbgC7DA,UgwjP5PRzAaj2DCFg6F4AaABAg,I  could  just  imagine  how  much  he  was  hurting  when  he  wrote  this  song      
MwpMEbgC7DA,Ugxc4GLLn_DTUNR2k9Z4AaABAg,It's  been  9  years  and  still  a  masterpiece  to  this  day  
MwpMEbgC7DA,Ugycyo8XuAkc0lWq7ld4AaABAg,If  you  survived  a  worldwide  pandemic  and  have  played  this  video    you  deserve  to  win  in  life  
MwpMEbgC7DA,UgyjzDCPGF0cxRrvfJp4AaABAg,I  finally  understand  this  song  after  5  years    and  it  hurts  a  lot      
MwpMEbgC7DA,Ugwrma46Zj5dWbWXOWN4AaABAg,This  song  is  scary  makes  my  skin  crawl  remembering  what  trauma  our  previous  relationship  can  give  us  
MwpMEbgC7DA,Ugx3YnViu3f6UyPs4Yt4AaABAg,Its  November  2021    lets  see  how  many  legends  are  listening  
MwpMEbgC7DA,Ugzxt_xODA6tmYwYUrx4AaABAg,I  love  this  song  even  tho  it  brings  back  memories
MwpMEbgC7DA,UgxtCBV0BFaXo7WpbTx4AaABAg,Can  we  talk  about  how  bad  it  is  when  you're  helping  your  friends  and  always  being  the  supportive  friend  while  you're  already  mentally  and  emotinally  destroyed    
MwpMEbgC7DA,UgwyFvqt1jZGR1l32sl4AaABAg,I've  memorized  this  song  more  than  math  equations    I  think  this  song  will  make  me  fail      just  kidding  this  is  the  best  song  ever  
MwpMEbgC7DA,UgyZC7GpO26v907mmbh4AaABAg,What  a  song        Absolutely  have  nothing  to  say  but  be  of  great  admiration  beyond  reasonable  proportion  
MwpMEbgC7DA,UgzqZcOBbgPgWojj02N4AaABAg,Last  night    I  had  a  really  sad  dream  because  of  this  song        My  brain  really  created  an  entire  narrative  as  I  slept  based  around  this  song  as  its  foundation    It  played  out  like  a  movie  as  I  slept    it  was  strange  being  the  main  character  in  a  first  person  movie  about  my  own  fictional  dream    but  I  awoke  almost  regretting  the  things  I'd  said  and  done  to  this  fictional  person  in  my  mind    Sorry  figment  of  my  imagination    you  ain't  deserve  that        
MwpMEbgC7DA,UgwzYy6DQFpxP-Pt7wB4AaABAg,It  took  me  8  years  to  find  out  that  such  a  good  song  exists
MwpMEbgC7DA,UgxOZUXpsjhjwjPdVa94AaABAg,When  you  want  to  start  living  but  it  seems  impossibile  and  useless    When  you  want  to  appreciate  what  life  gave  you  but  you  can  t    When  you  want  lo  love  but  you  know  that  maybe  is  impossible  to  love  in  the  same  way  you  did    When  you  feel  empty  just  because  of  another  love  that  made  you  understand  you  weren  t  anyone  except  the  couple  YOU  created    When  this  love  finishes  you  stop  existing  
MwpMEbgC7DA,UgxJc5ZDf4T5LdhyMXN4AaABAg,The  best  song  in  the  world    is  spectacular
MwpMEbgC7DA,UgzlSrJXhVezD3hu_ON4AaABAg,I  cry  every  time  I  listen  to  this  song
MwpMEbgC7DA,Ugwkc2sTkeUtkMk2Wzl4AaABAg,I  just  cant  help  but  love  and  vibe  with  the  chick  raging  in  the  background  while  demolishing  the  entire    room  
MwpMEbgC7DA,UgwduZXK3N5Mhc3MGXx4AaABAg,you  know  a  song  is  gold  when  the  comment  section  is  still  active
MwpMEbgC7DA,Ugzs51gptYH1oh0c_ed4AaABAg,Probably  one  of  the  best  songs  of  this  generation
MwpMEbgC7DA,Ugy73rSh9p-0rUfmGZl4AaABAg,I  can't  imagine  how  much  pain  he  was  feeling  when  writing  this  song    He's  a  great  song  composer    Love  him  
MwpMEbgC7DA,Ugx3srrfw5TTL_4Clvt4AaABAg,i  m  in  november  2  2021  and  i  will  never  forget  how  much  i  love  this  song
MwpMEbgC7DA,UgwCJM-Cbm35deq5P414AaABAg,late  2021  and  this  song  is  still  perfect  
MwpMEbgC7DA,Ugz22qnF6uuUMCCvcft4AaABAg,This  is  the  greatest  song  in  history  
MwpMEbgC7DA,Ugx7EGsH7T_tdoUxdvV4AaABAg,  Respect  your  pillow    because  it  was  there  to  catch  your  tears  when  nobody  else  did    
MwpMEbgC7DA,UgxNOlZ_vKhUqpRaqtB4AaABAg,I    get  chills  all  over  my  body  whenever  I  listening  to  this  song
MwpMEbgC7DA,UgzFIcgfud4tfIfYh094AaABAg,There  are  some  songs  that  I  don't  know  how  can  touch  our  soul  and  remain  in  us    even  if  they  talk  about  things  we  have  never  lived    Poetry    carthasis  and  sensibility  are  really  great  things    Good  vibes  for  you  all  listening  to  this  song  and  reading  this  comment  
MwpMEbgC7DA,UgwR66yDqCTP2RrUjXB4AaABAg,Chills  literal  chills  everytime
MwpMEbgC7DA,Ugxpm3nTxATmfTnegWJ4AaABAg,2012      Cry    2013      Cry    2014      Cry    2015      Cry    2016      Cry    2017      Cry          2018      Cry          2019      Cry    2020      cry  2021      still  crying
MwpMEbgC7DA,UgzAPnmng8xtlSjJEUl4AaABAg,i  remember  listening  to  this  song  balling  my  eyes  out  the  day  after  we  broke  up  and  5  months  later  i  still  do    I  love  him  so  much    I  miss  you  
MwpMEbgC7DA,UgwclU56J0ibA7V50uR4AaABAg,I  always  act  fine  infront  of  everyone      I  always  say    I'm  tired    but  by  that  I  mean  that  I'm  T      Terrible  I      Ignored  R      Ready  to  give  up  E      Ending  it  all  D      Dead  inside  
MwpMEbgC7DA,UgzRbDkZTA7-_CQJw9F4AaABAg,One  of  the  best  songs  ever  created
MwpMEbgC7DA,UgwX036UBj7H6ddyLcd4AaABAg,My  phone  battery    1      Play  this  song        My  1      phone  battery      Ok    I  can  wait
MwpMEbgC7DA,UgxCUAL532K8E8zqw_h4AaABAg,I  just  realized  this  song  is  made  8  years  ago    And  I  can  t  believe  it    This  is  so  overwhelming  
MwpMEbgC7DA,Ugwus1rrkqs9NUv3xX54AaABAg,  And  I  d  sing  a  song    that  d  be  just  ours        
MwpMEbgC7DA,UgwZSufEaNKTXkcVfnZ4AaABAg,8  years  ago    How  did  I  miss  this  song
MwpMEbgC7DA,Ugx21Wcz_niKJyl_SyZ4AaABAg,Imagine  being  19  and  writing  something  so  meaningful  that  even  someone  in  their  30's  couldn't  write  
MwpMEbgC7DA,UgzNnE53uyi2QAimAJV4AaABAg,i  was  listening  to  this  song  when  i  was  a  kid  and  i  wasn't  feeling  it  but  now  it  hurts  
MwpMEbgC7DA,UgxnfMDfwhdFdygXQTd4AaABAg,It  makes  me  so  mad  how  underrated  he  is  
MwpMEbgC7DA,UgxfCKfRXkhAo8TrffB4AaABAg,2021  and  still  perfect
MwpMEbgC7DA,UgzpKqlw4KVWHOogTjd4AaABAg,if  you  ever  feel  stupid    just  remember  that  people  disliked  this  song
MwpMEbgC7DA,UgzxDr9Jh5JFzV9sWLx4AaABAg,This  song  will  keep  everything  that  happened  between  us  if  a  day  comes  and  we  part  listen  to  it  and  remember  me      
MwpMEbgC7DA,UgxbfvqsG-fPzxI6VqB4AaABAg,thank  you  tom    this  song  honestly  saved  me
MwpMEbgC7DA,Ugyo4sMzeEEZ4koNxZd4AaABAg,i  always  have  that  feeling  when  i  listen  to  this  song    i  can't  explain  it  differently
MwpMEbgC7DA,UgzhOfF19Ku7mrOjm2V4AaABAg,one  song  that  never  gets  old
MwpMEbgC7DA,UgwoqXRO7bIStlNvvEV4AaABAg,No  big  editing    just  a  man  sitting  in  a  chair    staring  into  a  camera  while  creating  a  masterpiece  
MwpMEbgC7DA,UgwC2WSvyPZTDvvLDMZ4AaABAg,It  doesn  t  matter  how  happy  you  are    this  song  will  make  you  sad
MwpMEbgC7DA,Ugx_prHjcNOEct_B97t4AaABAg,It's  October  2021    Lets  See  How  Many  Legends  Listening  This  Masterpiece  
MwpMEbgC7DA,UgzAv5Kr3TzFuOaiuLF4AaABAg,You  know  it's  a  masterpiece  when  you  find  comments  from  one  day  ago  after  9  years  of  releasing  the  song    
MwpMEbgC7DA,UgzusX_cgXqWOKDCsXR4AaABAg,I  ve  never  heard  anyone  talk  about  this  but  it  s  so  good  even  stands  in  2021
MwpMEbgC7DA,UgwNK2ftxnPfv_OtRXR4AaABAg,Hello    I  am  Iraqi    I  come  from  Tik  Tok  and  I  love  this  music  because  it  is  beautiful  and  takes  away  the  worries  of  the  world  and  thank  you  for  this  beautiful  music  
MwpMEbgC7DA,UgwXs4BTob9gWf0xcTh4AaABAg,I'm  sorry  if  tiktok  ruined  your  fav  songs  but  I'm  very  grateful  that  tiktok  shows  me  this  masterwork  as  I  never  heard  of  this  before
MwpMEbgC7DA,Ugy5HRdcV3I3JlUgHk54AaABAg,I'm  crying  listening  to  this  song  and  I  think  my  mom  is  going  to  die    I  hope  nothing  happens  
MwpMEbgC7DA,UgxauYPx5Gnyl4iuzP94AaABAg,here  again  after  5  years    D  still  listening  to  this  wonderful  song
MwpMEbgC7DA,UgxDsvHdOuS8vPPFQ454AaABAg,Evryone  here  has  a  story  with  someone  to  relate  with  this  song  and  im  here    relating  myself  forgiving  myself  
MwpMEbgC7DA,Ugw0cKgPT1rT3A4h7pl4AaABAg,Don  t  worry  you  re  not  the  only  one  listening  to  this  masterpiece  in  June  2021      
MwpMEbgC7DA,UgzOEe4j5c0upFAAiXh4AaABAg,Am  i  the  only  one  who  feels  so  connected  to  this  song
MwpMEbgC7DA,UgwkxW-b3PzmpW6tmn54AaABAg,i'm  italian  but  if  i  have  to  be  honest  this  song  is  wonderful
MwpMEbgC7DA,Ugws0gdTEHNyIcr5kKV4AaABAg,Amazing  songs  to  listen  to  when  your  depressed  
MwpMEbgC7DA,UgyaA2XR3IZSN2sS4RR4AaABAg,Another  love  driver's  license
MwpMEbgC7DA,UgzHYsxy_YYZcY8KrBp4AaABAg,8  years  ago    I  wonder  the  actual  date  I  first  heard  this        
MwpMEbgC7DA,UgxFdJHdreBfcLDXgA54AaABAg,This  song  is  still  my  happy  place
MwpMEbgC7DA,Ugx_7jc7Vw_bHg7Zj0Z4AaABAg,This  song  will  make  you  sad  even  if  you  re  not
MwpMEbgC7DA,Ugy2-xa5Rb7j8Jvz2Pd4AaABAg,This  song  sound  sad  but  pretty  at  the  same  time  I  love  it
MwpMEbgC7DA,UgzZe-HqKwXazUgVqEd4AaABAg,Me    being  sick  but  the  only  thing  i  remembered  was  this  song  Ive  been  here  for  over  20  min  now      
MwpMEbgC7DA,UgyRnTyadFsKCrDwcj14AaABAg,Once  a  smart  man  said          when  you  re  happy  you  enjoy  the  melody    when  you  re  sad  you  understand  the  lyrics    
MwpMEbgC7DA,UgzVb1CK-Zo8IoTir-R4AaABAg,I  love  this  song  so  much  but  sometimes  it  hurts  the  same  time          I  wish  I  could  fix  my  feeling  everytime  I  heard  this  song
MwpMEbgC7DA,UgwxjIA64j963_PeLgp4AaABAg,Had  this  on  repeat  since  a  break  up  christ    x
