Video ID,Comment ID,comments,Likes,polarity,pol_cat,stop_comments
24u3NoPvgMw,UgxMV6HhrJEXz7ZBJ1h4AaABAg,the  part  where  he  s  spinning  around  in  a  skirt,2,0.0,0,part spinning around skirt
24u3NoPvgMw,UgzwWXKK5BBUhuJlTmJ4AaABAg,i  realized  i  was  a  heather  for  a  lot  of  guys,0,0.0,0,realized heather lot guys
24u3NoPvgMw,UgxgN-ES59lqVcV2erZ4AaABAg,conan    sir    are  you  sure  you  aren't  half  as  pretty    because  i  think  you're  kinda  lying  to  yourself  not  gonna  lie,0,0.19444444444444445,1,conan sir sure n't half pretty think 're kinda lying gon na lie
24u3NoPvgMw,Ugxx0keyv7KoN43k7wp4AaABAg,this  is  so  fav  in  my  playlist  conan,1,0.0,0,fav playlist conan
24u3NoPvgMw,Ugw6oHQZzz1bWZrKEmB4AaABAg,conan  you  maniac    you  have  my  whole  heart,8,0.2,1,conan maniac whole heart
24u3NoPvgMw,UgwkajNWecypo44PKGl4AaABAg,the  people  that  disliked  this  song  should  get  their  covid  test    because  one  of  the  main  symptoms  is  no  taste,13,-0.016666666666666677,0,people disliked song get covid test one main symptoms taste
24u3NoPvgMw,UgxK6np_sSBHXs5eYDV4AaABAg,missing  someone  who  suggested  me  to  listen  to  this  song,0,-0.2,0,missing someone suggested listen song
24u3NoPvgMw,UgwttdQeUR4VJ5jkv-N4AaABAg,i  want  to  cry        such  a  beautiful  song    and  beautiful  video,0,0.5666666666666667,1,want cry beautiful song beautiful video
24u3NoPvgMw,UgwhBO1CqgRdhNokcp94AaABAg,can't  believe  this  song  was  released  1  year  ago,0,0.0,0,ca n't believe song released 1 year ago
24u3NoPvgMw,UgxOBaTYGEtMihnYrfp4AaABAg,recuerdo  tan  bonito  el  dia  que  se  estreno,0,0.0,0,recuerdo tan bonito el dia que se estreno
24u3NoPvgMw,Ugy6RNUnWe08RVMQkPF4AaABAg,i'm  not  even  half  as  pretty        this  hits  so  hard,660,-0.06944444444444445,0,'m even half pretty hits hard
24u3NoPvgMw,UgyV_u9EsjuoPrrbeBR4AaABAg,alt  title    conan  proving  that  he  was  the  heather  for  3  minutes,383,0.0,0,alt title conan proving heather 3 minutes
24u3NoPvgMw,Ugyqfkai0I5qZouL-GN4AaABAg,the  story  of    my  life,1,0.0,0,story life
24u3NoPvgMw,Ugz1UAD57K10T7LXHax4AaABAg,you  can  t  say    i  m  not  even  half  as  pretty    and  then  spend  the  whole  video  being  the  most  beautiful  person  on  this  planet,4585,0.32666666666666666,1,say even half pretty spend whole video beautiful person planet
24u3NoPvgMw,UgwnV1ruoHPCRxmZ1TB4AaABAg,my  face  when  i  heard  this  song,5239,0.0,0,face heard song
24u3NoPvgMw,UgygNvd8d5oZHzKnRfB4AaABAg,en  t  rminos  de  antojar    ya  antojaron,1,0.0,0,en rminos de antojar ya antojaron
24u3NoPvgMw,UgzGBWdJYI1_g3KDSGl4AaABAg,this  is  for  the  person  whom  i've  loved  and  will  never  forget    my  beloved  nc,1,0.7,1,person 've loved never forget beloved nc
24u3NoPvgMw,UgxVk_u81rK0S2FAjqZ4AaABAg,i  m  gonna  guess  that  this  was  filmed    during  quarantine    and  if  it  was  can  we  just  talk  about  how  gorgeous  this  is  even  though  he  didn  t  have  many  resources    bc  of  miss  rona    this  is  a  masterpiece  and  i  love  it  so  much          3,182,0.475,1,gon na guess filmed quarantine talk gorgeous even though many resources bc miss rona masterpiece love much 3
24u3NoPvgMw,UgzcvLortBallTJutEF4AaABAg,he  is  so  pretty  in  skirt  and  clips  in  his  hair  i'm  crying,6,0.024999999999999994,1,pretty skirt clips hair 'm crying
24u3NoPvgMw,Ugw6wbQeTwTC6J493494AaABAg,conan      i'm  not  even  half  as  pretty  also  conan      proceeds  to  show  perfectly  toned  abs  and  gorgeous  shoulder  blades,11,0.4458333333333333,1,conan 'm even half pretty also conan proceeds show perfectly toned abs gorgeous shoulder blades
24u3NoPvgMw,Ugx0154moROod-C5R0l4AaABAg,alternative  title    conan  being  hot  for  3  minutes  and  25  seconds  straight,2063,0.225,1,alternative title conan hot 3 minutes 25 seconds straight
24u3NoPvgMw,UgwYa16VBcct4yWCT3h4AaABAg,the  worst  part  is  that  she  did  nothing  wrong,157,-0.75,0,worst part nothing wrong
24u3NoPvgMw,UgyYQt-7QJpm-R9SIal4AaABAg,ik  some  of  yall  are  disappointed  we  didn't  get  to  see  who  heather  is    but  heather  is  different  for  everyone,2637,-0.375,0,ik yall disappointed n't get see heather heather different everyone
24u3NoPvgMw,Ugxy94cJbjC1H7blwvN4AaABAg,this  stopped  with  the  awesomest  mirror  picture  ever,0,0.0,0,stopped awesomest mirror picture ever
24u3NoPvgMw,Ugx3ermWveBf_l0dpSl4AaABAg,i  love  his  music  this  ones  my  fav,0,0.5,1,love music ones fav
24u3NoPvgMw,Ugwm-Jf4WQinDO61T6l4AaABAg,yo  it's  just  me  still  listening  to  this  song      crying  and  shouts  into  the  pillow    i  wish  i  were  heather,0,-0.2,0,yo 's still listening song crying shouts pillow wish heather
24u3NoPvgMw,UgyzyYyuyoUz-vSQ1054AaABAg,producer    how  many  aesthetic  shots  do  you  want  in  the  video      conan    y  e  s,933,0.5,1,producer many aesthetic shots want video conan e
24u3NoPvgMw,UgzVbDLKpCmauVTmCvN4AaABAg,guy    a  girl    non  binary  i  loove  the  concept  sooo  much,0,0.2,1,guy girl non binary loove concept sooo much
24u3NoPvgMw,UgyyXURbIs-dAgZnTMx4AaABAg,i  never  felt  the  jealousy  and  pain  of  unrequited  love  as  much  as  i  feel  while  listening  to  this  song  this  song  is  my  fav,7,0.35,1,never felt jealousy pain unrequited love much feel listening song song fav
24u3NoPvgMw,UgzukDFmb7Eiuz9Zuz54AaABAg,plot  twist    conan  gray  is  the  heather  we  all  want  to  look  like,6,0.0,0,plot twist conan gray heather want look like
24u3NoPvgMw,UgwgkUZZUJHZMn-c34t4AaABAg,most  beautiful  yet  heart  breaking  song  of  this  year,0,0.675,1,beautiful yet heart breaking song year
24u3NoPvgMw,Ugyr3Im_IzcdpOu_Z-t4AaABAg,god    this  is  the  most  beautiful  music  video  i've  ever  seen        breathtaking,2,0.7833333333333333,1,god beautiful music video 've ever seen breathtaking
24u3NoPvgMw,Ugw_R0IbjUY_I1thLTV4AaABAg,i  wish  i  were  heaaaathhheerrrr,0,0.0,0,wish heaaaathhheerrrr
24u3NoPvgMw,UgzOvyquoUM1S9Xs2mZ4AaABAg,i  love  it  this  song,0,0.5,1,love song
